Ingredient,Calories,Protein,Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Carbohydrates,Fiber,Sugars,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Choline,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Cholesterol,Menu Type,Day,Meal
0.5 g sea salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12,0.0017,0.005,0.0,0.04,193.79,0.0005,0.0002,0.0005,0.0005,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,N/A,N/A,0.0,Vegetarian,Day 1,Lunch - Polenta with Mushroom Gravy
20 g butter,143.4,0.17,16.22,10.2736,4.2042,0.6086,0.01,0.0,0.01,4.8,0.004,0.4,4.8,4.8,128.6,0.018,0.0,0,0.2,499.8,0.0,0,0.464,1.4,0.001,0.0068,0.0084,0.0006,0.6,0.034,0.022,3.76,0.063,N/A,43.0,Vegetarian,Day 1,Lunch - Polenta with Mushroom Gravy
200 g raw mushrooms,44.0,6.18,0.68,0.1,0,0.32,6.52,2.0,3.96,6.0,1.0,18.0,172.0,636.0,10.0,1.04,0.636,0.094,18.6,0,4.2,14,0.02,0,0.162,0.804,7.214,0.208,34,0.08,2.994,34.6,N/A,N/A,0.0,Vegetarian,Day 1,Lunch - Polenta with Mushroom Gravy
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Vegetarian,Day 1,Lunch - Polenta with Mushroom Gravy
1 g pepper,2.51,0.1,0.03,0.0139,0.0074,0.01,0.64,0.25,0.01,4.43,0.0971,1.71,1.58,13.29,0.2,0.0119,0.0133,0.1275,0.049,5.47,0.0,0,0.0104,1.637,0.0011,0.0018,0.0114,0.0029,0.17,0,0.014,0.113,0.0015,N/A,0.0,Vegetarian,Day 1,Lunch - Polenta with Mushroom Gravy
350 g silk tofu,290.5,34.93,18.41,3.2165,4.613,9.2995,4.13,3.5,2.49,987.0,7.14,122.5,388.5,455.0,14.0,3.745,0.7,2.331,45.5,0,0.0,0,0.035,9.8,0.168,0.168,0.8435,0.2905,31.5,0,2.954,115.5,N/A,N/A,0.0,Vegetarian,Day 1,Supper - Pickled Tofu
2 tbsp sesame oil,240.01,0.0,27.15,3.8553,10.7786,11.3216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,0.0,0,0.3801,3.6924,0.0,0.0,0.0,0,0,0,0,0.0543,N/A,N/A,0.0,Vegetarian,Day 1,Supper - Pickled Tofu
2.5 tbsp tamari sauce,27.0,4.73,0.05,0.005,0.0077,0.0198,2.51,0.36,0.77,9.0,1.071,18.0,58.5,95.4,2513.7,0.1935,0.0608,0.2246,0.36,0,0.0,0,0,0,0.0266,0.0684,1.778,0.09,8.1,0,0.1692,17.28,N/A,N/A,0.0,Vegetarian,Day 1,Supper - Pickled Tofu
1 tbsp rice vinegar,2.68,0.0,0.0,0,0,0,0.01,0.0,0.01,0.894,0.0045,0.149,0.596,0.298,0.3,0.0015,0.0009,0.0082,0.0745,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,N/A,N/A,0.0,Vegetarian,Day 1,Supper - Pickled Tofu
1 clove garlic,4.47,0.19,0.02,0.0027,0.0003,0.0075,0.99,0.06,0.03,5.43,0.051,0.75,4.59,12.03,0.51,0.0348,0.009,0.0502,0.426,0.27,0.936,0,0.0024,0.051,0.006,0.0033,0.021,0.0371,0.09,0,0.0179,0.696,N/A,N/A,0.0,Vegetarian,Day 1,Supper - Pickled Tofu
1/2 red chili or 1 tsp dry chili,9.0,0.42,0.1,0.0095,0.0054,0.0538,1.98,0.34,1.19,3.15,0.2318,5.175,9.675,72.45,2.03,0.0585,0.029,0.0421,0.1125,214.2,32.3325,0,0.1553,3.15,0.0162,0.0194,0.2799,0.1139,5.175,0,0.0452,2.4525,N/A,N/A,0.0,Vegetarian,Day 1,Supper - Pickled Tofu
5-6 cm fresh ginger root,8.0,0.18,0.08,0.0203,0.0154,0.0154,1.78,0.2,0.17,1.6,0.06,4.3,3.4,41.5,1.3,0.034,0.0226,0.0229,0.07,0,0.5,0,0.026,0.01,0.0025,0.0034,0.075,0.016,1.1,0,0.0203,2.88,N/A,N/A,0.0,Vegetarian,Day 1,Supper - Pickled Tofu
0.75 cup boiled spelt,184.79,8.0,1.24,N/A,N/A,N/A,38.47,5.67,,14.55,2.4299,71.295,218.25,208.065,7.28,1.8188,0.3128,1.5874,5.82,5.82,0.0,N/A,0.3783,N/A,0.1499,0.0437,3.7394,0.1164,18.915,0,N/A,N/A,N/A,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
0.5 cup boiled oatmeal,82.95,2.97,1.78,0.3622,0.5082,0.6531,14.02,1.99,0.32,10.515,1.0515,31.545,89.9617,81.7833,4.67,1.1683,0.0865,0.6776,6.309,0,0.0,0,0.0935,0.3505,0.0888,0.0187,0.2629,0.0058,7.01,0,0.3634,8.6457,0.021,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
15 g raisins,44.85,0.46,0.07,0.0087,0.0077,0.0056,11.88,0.56,8.88,7.5,0.282,4.8,15.15,112.35,1.65,0.033,0.0477,0.0449,0.09,0,0.345,0,0.018,0.525,0.0159,0.0188,0.1149,0.0261,0.75,0,0.0143,1.665,N/A,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
10 g liquid honey,30.4,0.03,0.0,0,0,0,8.24,0.02,8.21,0.6,0.042,0.2,0.4,5.2,0.4,0.022,0.0036,0.008,0.08,0,0.05,0,0,0,0.0,0.0038,0.0121,0.0024,0.2,0,0.0068,0.22,N/A,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
1 cup almond milk,56.04,1.06,2.5,0.1901,1.5776,0.6165,8.08,0.63,7.2,20.624,0.189,15.868,24.05,36.79,9.59,0.1804,0.0757,0.1092,0.247,0.1,0.0,0,1.2815,0,0.0103,0.0582,0.1809,0.0069,2.2,0,0.0236,2.605,0.0002,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
50 g banana,44.5,0.55,0.17,0.056,0.016,0.0365,11.42,1.3,6.12,2.5,0.13,13.5,11.0,179.0,0.5,0.075,0.039,0.135,0.5,32,4.35,0,0.05,0.25,0.0155,0.0365,0.3325,0.1835,10,0,0.167,4.9,N/A,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
50 g strawberry,16.0,0.34,0.15,0.0075,0.0215,0.0775,3.84,1.0,2.44,8.0,0.205,6.5,12.0,76.5,0.5,0.07,0.024,0.193,0.2,6,29.4,0,0.145,1.1,0.012,0.011,0.193,0.0235,12,0,0.0625,2.85,N/A,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
50 g blueberries,28.5,0.37,0.17,0.014,0.0235,0.073,7.25,1.2,4.98,3.0,0.14,3.0,6.0,38.5,0.5,0.08,0.0285,0.168,0.05,27,4.85,0,0.285,9.65,0.0185,0.0205,0.209,0.026,3,0,0.062,3,N/A,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
15 g pumpkin seeds,66.9,2.78,2.91,0.5505,0.9048,1.3266,8.06,2.76,,8.25,0.4965,39.3,13.8,137.85,2.7,1.545,0.1035,0.0744,N/A,9.3,0.045,0,N/A,N/A,0.0051,0.0078,0.0429,0.0056,1.35,0,0.0084,N/A,N/A,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
1 tsp cinnamon,6.42,0.1,0.03,0.009,0.0064,0.0018,2.1,1.38,0.06,26.052,0.2163,1.56,1.664,11.206,0.26,0.0476,0.0088,0.4541,0.0806,7.67,0.0988,0,0.0603,0.8112,0.0006,0.0011,0.0346,0.0041,0.156,0,0.0093,0.286,0.0003,N/A,0.0,Vegetarian,Day 2,Breakfast - Berry Breakfast with Spelt
15 g raw cashew,82.95,2.73,6.58,1.1675,3.5696,1.1768,4.53,0.5,0.89,5.55,1.002,43.8,88.95,99.0,1.8,0.867,0.3293,0.2483,2.985,0,0.075,0,0.135,5.115,0.0635,0.0087,0.1593,0.0626,3.75,0,0.1296,N/A,N/A,N/A,0.0,Vegetarian,Day 2,Snack
200 g black currant,126.0,2.8,0.82,0.068,0.116,0.358,30.76,,,110.0,3.08,48.0,118.0,644.0,4.0,0.54,0.172,0.512,N/A,460,362.0,N/A,2,N/A,0.1,0.1,0.6,0.132,N/A,0,0.796,N/A,N/A,N/A,0.0,Vegetarian,Day 2,Snack
1 medium broccoli,63.0,4.28,0.74,0.1422,0.072,0.306,12.92,5.94,2.5,72.0,1.206,37.8,120.6,527.4,73.8,0.81,0.1098,0.3492,2.88,2786.4,116.82,0,2.61,253.98,0.1134,0.2214,0.9954,0.36,194.4,0,1.1088,72.18,N/A,N/A,0.0,Vegetarian,Day 2,Lunch - Broccoli in Oyster Sauce with Cashews
1 medium carrot,16.1,0.35,0.08,0.0138,0.0028,0.0409,3.78,1.38,1.59,13.8,0.1564,4.6,13.8,108.1,26.68,0.092,0.0078,0.0713,0.322,7835.18,1.656,0,0.4738,6.302,0.0304,0.0202,0.2967,0.0704,6.44,0,0.1067,4.048,N/A,N/A,0.0,Vegetarian,Day 2,Lunch - Broccoli in Oyster Sauce with Cashews
200 g basmati rice,260.0,5.38,0.56,0.154,0.176,0.152,56.34,0.8,0.1,20.0,2.4,24.0,86.0,70.0,2.0,0.98,0.138,0.944,15,0,0.0,0,0.08,0,0.326,0.026,2.952,0.186,116,0,0.78,4.2,N/A,N/A,0.0,Vegetarian,Day 2,Lunch - Broccoli in Oyster Sauce with Cashews
30 g cashews (fried or raw),172.2,4.59,13.91,2.7471,8.1951,2.3508,9.81,0.9,1.5,13.5,1.8,78.0,147.0,169.5,192.0,1.68,0.666,0.2478,3.51,0,0.0,0,0.276,10.41,0.06,0.06,0.42,0.0768,20.7,0,0.3651,18.3,N/A,N/A,0.0,Vegetarian,Day 2,Lunch - Broccoli in Oyster Sauce with Cashews
2 tbsp sesame or olive oil,238.68,0.0,27.0,3.7282,19.6995,2.8412,0.0,0.0,0.0,0.27,0.1512,0.0,0.0,0.27,0.54,0.0,0.0,0,0,0,0.0,0,3.8745,16.254,0.0,0.0,0.0,0,0,0,0,0.081,N/A,N/A,0.0,Vegetarian,Day 2,Lunch - Broccoli in Oyster Sauce with Cashews
4 tbsp oyster sauce,36.72,0.97,0.18,0.031,0.0526,0.0475,7.86,0.22,0.0,23.04,0.1296,2.88,15.84,38.88,1967.76,0.0648,0.1058,0.0382,3.168,0,0.072,0,0,0,0.0072,0.0893,1.0613,0.0115,10.8,0.2952,0.0115,2.52,N/A,N/A,0.0,Vegetarian,Day 2,Lunch - Broccoli in Oyster Sauce with Cashews
a pinch of sugar,1.01,0.0,0.0,0,0,0,0.26,0.0,0.26,0.0026,0.0001,0.0,0.0,0.0052,0.0,0.0,0.0,0,0.0016,0,0.0,0,0,0,0.0,0.0001,0.0,0,0,0,0,0,N/A,N/A,0.0,Vegetarian,Day 2,Lunch - Broccoli in Oyster Sauce with Cashews
1 cup quinoa,222.0,8.14,3.55,0.4274,0.9768,1.9943,39.41,5.18,1.61,31.45,2.7565,118.4,281.2,318.2,12.95,2.0165,0.3552,1.1674,5.18,9.25,0.0,0,1.1655,0,0.198,0.2035,0.7622,0.2276,77.7,0,N/A,42.55,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
10 ml extra virgin olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
10 g natural vinegar,1.8,0.0,0.0,0,0,0,0.0,0.0,0.0,0.6,0.003,0.1,0.4,0.2,0.2,0.001,0.0006,0.0055,0.05,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
10 g flax seeds,53.4,1.83,4.22,0.3663,0.7527,2.873,2.89,2.73,0.16,25.5,0.573,39.2,64.2,81.3,3.0,0.434,0.122,0.2482,2.54,0,0.06,0,0.031,0.43,0.1644,0.0161,0.308,0.0473,8.7,0,0.0985,7.87,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
5 g pumpkin seeds,22.3,0.93,0.97,0.1835,0.3016,0.4422,2.69,0.92,,2.75,0.1655,13.1,4.6,45.95,0.9,0.515,0.0345,0.0248,N/A,3.1,0.015,0,N/A,N/A,0.0017,0.0026,0.0143,0.0019,0.45,0,0.0028,N/A,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
30 g basil,6.9,0.95,0.19,0.0123,0.0264,0.1167,0.8,0.48,0.09,53.1,0.951,19.2,16.8,88.5,1.2,0.243,0.1155,0.3444,0.09,1582.5,5.4,0,0.24,124.44,0.0102,0.0228,0.2706,0.0465,20.4,0,0.0627,3.42,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
20 g cilantro,4.6,0.43,0.1,0.0028,0.055,0.008,0.73,0.56,0.17,13.4,0.354,5.2,9.6,104.2,9.2,0.1,0.045,0.0852,0.18,1349.6,5.4,0,0.5,62,0.0134,0.0324,0.2228,0.0298,12.4,0,0.114,2.56,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
1 cucumber,30.15,1.31,0.22,0.0744,0.0101,0.0643,7.3,1.0,3.36,32.16,0.5628,26.13,48.24,295.47,4.02,0.402,0.0824,0.1588,0.603,211.05,5.628,0,0.0603,32.964,0.0543,0.0663,0.197,0.0804,14.07,0,0.5206,12.06,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
1 large tomato,32.76,1.6,0.36,0.051,0.0564,0.1511,7.08,2.18,4.79,18.2,0.4914,20.02,43.68,431.34,9.1,0.3094,0.1074,0.2075,0,1516.06,24.934,0,0.9828,14.378,0.0673,0.0346,1.0811,0.1456,27.3,0,0.162,12.194,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
50 g baked sweet potatoes,45.0,1.0,0.08,0.026,0.001,0.046,10.36,1.65,3.24,19.0,0.345,13.5,27.0,237.5,18.0,0.16,0.0805,0.2485,0.1,9609,9.8,0,0.355,1.15,0.0535,0.053,0.7435,0.143,3,0,0.442,6.55,N/A,N/A,0.0,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
30 g nutritional yeast,98.45,13.46,2.07,0.2925,1.1462,0.0151,11.13,7.23,0.0,24.4941,0.6143,21.1765,215.2412,270.4412,19.01,2.3199,0.1171,0.0826,3.0335,0,0.0794,0,0,0.1059,2.9306,1.13,10.6813,0.4185,620.5765,0.105,3.7682,16.3765,N/A,N/A,0.56,Vegetarian,Day 2,Supper - Vegetable Salad with White Quinoa and Leftovers
1/3 cup coconut chips,107.83,0.81,7.64,6.7768,0.3251,0.0836,10.46,1.93,8.52,3.2262,0.398,10.6623,24.3982,64.4884,117.87,0.2391,0.0949,0.3257,2.2374,0,0.1777,0,0.0521,0.0355,0.0071,0.0133,0.0714,0.0355,1.0659,0,0.0948,2.6175,N/A,N/A,0.0,Vegetarian,Day 3,Breakfast - Coconut Pancakes without Flour
2 eggs,143.0,12.56,9.51,3.126,3.658,1.911,0.72,0.0,0.37,56.0,1.75,12.0,198.0,138.0,142.0,1.29,0.072,0.028,30.7,540,0.0,82,1.05,0.3,0.04,0.457,0.075,0.17,47,0.89,1.533,293.8,0.036,0.001,372.0,Vegetarian,Day 3,Breakfast - Coconut Pancakes without Flour
1 tbsp coconut milk,29.55,0.3,3.2,2.8373,0.1361,0.035,0.42,,,2.7,0.495,6.9,14.4,33.0,1.95,0.084,0.0335,0.1152,N/A,0,0.15,0,N/A,N/A,0.0033,0.0,0.0956,0.0042,2.1,0,0.023,1.275,N/A,N/A,0.0,Vegetarian,Day 3,Breakfast - Coconut Pancakes without Flour
0.5 tbsp coconut oil,60.66,0.0,6.74,5.6083,0.4306,0.1157,0.0,0.0,0.0,0.068,0.0034,0.0,0.0,0.0,0.0,0.0014,0.0,0,0,0,0.0,0,0.0075,0.0408,0.0,0.0,0.0,0,0,0,0,0.0204,0.0013,0,0.0,Vegetarian,Day 3,Breakfast - Coconut Pancakes without Flour
10 g raw almonds,57.9,2.12,4.99,0.3802,3.1551,1.2329,2.15,1.25,0.44,26.9,0.371,27.0,48.1,73.3,0.1,0.312,0.1031,0.2179,0.41,0.2,0.0,0,2.563,0,0.0205,0.1138,0.3618,0.0137,4.4,0,0.0471,5.21,0.0003,N/A,0.0,Vegetarian,Day 3,Snack
400 g red currant,224.0,5.6,0.8,0.068,0.112,0.352,55.2,17.2,29.48,132.0,4.0,52.0,176.0,1100.0,4.0,0.92,0.428,0.744,2.4,168,164.0,0,0.4,44,0.16,0.2,0.4,0.28,32,0,0.256,30.4,N/A,N/A,0.0,Vegetarian,Day 3,Snack
300 g tofu,249.0,29.94,15.78,2.757,3.954,7.971,3.54,3.0,2.13,846.0,6.12,105.0,333.0,390.0,12.0,3.21,0.6,1.998,39,0,0.0,0,0.03,8.4,0.144,0.144,0.723,0.249,27,0,2.532,99,N/A,N/A,0.0,Vegetarian,Day 3,Lunch - 'Steak' of Tofu with Mushrooms or Guacamole
0.5 tsp dry ground garlic,2.09,0.09,0.01,0.0013,0.0002,0.0035,0.46,0.03,0.01,2.534,0.0238,0.35,2.142,5.614,0.24,0.0162,0.0042,0.0234,0.1988,0.126,0.4368,0,0.0011,0.0238,0.0028,0.0015,0.0098,0.0173,0.042,0,0.0083,0.3248,N/A,N/A,0.0,Vegetarian,Day 3,Lunch - 'Steak' of Tofu with Mushrooms or Guacamole
0.5 tsp ground black pepper,3.26,0.14,0.04,0.0181,0.0096,0.013,0.83,0.33,0.01,5.759,0.1262,2.223,2.054,17.277,0.26,0.0155,0.0173,0.1658,0.0637,7.111,0.0,0,0.0135,2.1281,0.0014,0.0023,0.0149,0.0038,0.221,0,0.0182,0.1469,0.002,N/A,0.0,Vegetarian,Day 3,Lunch - 'Steak' of Tofu with Mushrooms or Guacamole
2 tbsp soy sauce,16.96,2.6,0.18,0.0234,0.0282,0.0842,1.58,0.26,0.13,10.56,0.464,23.68,53.12,139.2,1757.76,0.2784,0.0138,0.3258,0.16,0,0.0,0,0,0,0.0106,0.0528,0.7027,0.0474,4.48,0,0.095,5.856,N/A,N/A,0.0,Vegetarian,Day 3,Lunch - 'Steak' of Tofu with Mushrooms or Guacamole
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Vegetarian,Day 3,Lunch - 'Steak' of Tofu with Mushrooms or Guacamole
400 g oyster mushrooms,132.0,13.24,1.64,0.248,0.124,0.492,24.36,9.2,4.44,12.0,5.32,72.0,480.0,1680.0,72.0,3.08,0.976,0.452,10.4,192,0.0,116,0,0,0.5,1.396,19.824,0.44,152,0,5.176,194.8,N/A,N/A,0.0,Vegetarian,Day 3,Lunch - 'Steak' of Tofu with Mushrooms or Guacamole
1 onion,41.36,1.28,0.18,0.0291,0.0254,0.0686,9.54,1.32,4.45,20.68,0.2256,10.34,32.9,156.04,2.82,0.1974,0.063,0.1438,0.564,1.88,4.888,0,0.0188,0.47,0.0395,0.0216,0.1551,0.1213,14.1,0,0.1062,6.392,N/A,N/A,0.0,Vegetarian,Day 3,Lunch - 'Steak' of Tofu with Mushrooms or Guacamole
3 cloves garlic,13.41,0.57,0.05,0.008,0.001,0.0224,2.98,0.19,0.09,16.29,0.153,2.25,13.77,36.09,1.53,0.1044,0.0269,0.1505,1.278,0.81,2.808,0,0.0072,0.153,0.018,0.0099,0.063,0.1112,0.27,0,0.0536,2.088,N/A,N/A,0.0,Vegetarian,Day 3,Lunch - 'Steak' of Tofu with Mushrooms or Guacamole
300 g fresh green peas,252.0,16.08,0.66,0.117,0.057,0.306,46.89,16.5,17.79,81.0,4.62,117.0,351.0,813.0,9.0,3.57,0.519,1.575,5.7,2403,42.6,0,0.42,77.7,0.777,0.447,6.063,0.648,189,0,0.459,89.1,N/A,N/A,0.0,Vegetarian,Day 3,Supper - Stewed Young Peas with Rice (Croatian Rizhi-Biji)
1.5 cloves garlic,6.71,0.29,0.02,0.004,0.0005,0.0112,1.49,0.09,0.05,8.145,0.0765,1.125,6.885,18.045,0.77,0.0522,0.0135,0.0752,0.639,0.405,1.404,0,0.0036,0.0765,0.009,0.005,0.0315,0.0556,0.135,0,0.0268,1.044,N/A,N/A,0.0,Vegetarian,Day 3,Supper - Stewed Young Peas with Rice (Croatian Rizhi-Biji)
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Vegetarian,Day 3,Supper - Stewed Young Peas with Rice (Croatian Rizhi-Biji)
20 g young onion,8.8,0.27,0.04,0.0062,0.0054,0.0146,2.03,0.28,0.95,4.4,0.048,2.2,7.0,33.2,0.6,0.042,0.0134,0.0306,0.12,0.4,1.04,0,0.004,0.1,0.0084,0.0046,0.033,0.0258,3,0,0.0226,1.36,N/A,N/A,0.0,Vegetarian,Day 3,Supper - Stewed Young Peas with Rice (Croatian Rizhi-Biji)
15 g parsley,5.4,0.45,0.12,0.0198,0.0443,0.0186,0.95,0.5,0.13,20.7,0.93,7.5,8.7,83.1,8.4,0.1605,0.0224,0.024,0.015,1263.6,19.95,0,0.1125,246,0.0129,0.0147,0.197,0.0135,22.8,0,0.06,1.92,N/A,N/A,0.0,Vegetarian,Day 3,Supper - Stewed Young Peas with Rice (Croatian Rizhi-Biji)
200 g arborio rice,260.0,4.72,0.38,0.102,0.116,0.1,57.46,,,2.0,2.92,16.0,66.0,52.0,0.0,0.8,0.144,0.714,15,0,0.0,0,N/A,N/A,0.328,0.032,2.986,0.118,118,0,0.794,N/A,N/A,N/A,0.0,Vegetarian,Day 3,Supper - Stewed Young Peas with Rice (Croatian Rizhi-Biji)
1 ham croissant sandwich,398.07,16.99,23.46,12.7968,7.1042,1.3221,29.27,1.93,7.02,289.0136,1.5556,24.7681,259.6152,167.2951,765.14,1.8121,0.0804,0.3508,23.0272,701.8127,1.1521,13.6335,0.6097,1.8025,0.4153,0.2659,2.1211,0.1412,58.5395,0.6181,0.7864,48.9116,N/A,N/A,84.2,Fast Food,Day 1,Breakfast - Ham Croissant Sandwich
200 ml orange juice,94.34,1.47,0.42,0.0503,0.0755,0.0839,21.8,0.42,17.61,23.0608,0.4193,23.0608,35.6394,419.2872,2.1,0.1048,0.0922,0.0294,0.2096,419.2872,104.8218,0,0.0839,0.2096,0.1887,0.0629,0.8386,0.0839,62.8931,0,0.3983,12.9979,N/A,N/A,0.0,Fast Food,Day 1,Breakfast - Ham Croissant Sandwich
grande Latte medium,192.53,12.86,7.16,4.4438,2.0396,0.3131,19.21,0.0,0.0,471.534,0.2575,96.81,371.469,660.555,199.04,1.4984,0.0578,0.0357,8.4525,749.7,3.7884,147,0.0057,0.0567,0.1476,0.7361,3.2831,0.1665,18.942,1.3965,1.2507,1.4742,0,N/A,29.4,Fast Food,Day 1,Snack
1 donut,252.6,3.68,13.62,5.6718,4.3488,2.1528,28.76,1.26,13.65,60.6,1.428,10.2,70.2,61.2,189.6,0.366,0.0528,0.1842,9.42,13.8,0.72,1.8,0.858,6.9,0.1872,0.111,1.566,0.0222,64.8,0.066,0.1284,17.46,0.1176,0,18.0,Fast Food,Day 1,Snack
1 Big Mac,562.83,25.89,32.76,8.3286,7.6081,0.6701,43.98,3.5,8.69,254.04,4.38,43.8,267.18,396.39,1007.4,4.1829,0.2146,0.4511,N/A,411.72,0.876,N/A,N/A,N/A,0.3854,0.4577,7.411,N/A,100.74,1.9272,N/A,N/A,N/A,N/A,78.84,Fast Food,Day 1,Lunch - Big Mac with Green Salad
1 serving green salad,19.99,1.23,0.2,0.0281,0.0085,0.0961,4.21,1.66,1.83,37.422,0.8576,19.9868,27.3578,241.4003,31.33,0.2197,0.0417,0.257,0.3969,6210.918,15.1673,0,0.472,111.5856,0.0554,0.0692,0.4162,0.106,61.5195,0,0.1208,10.688,N/A,N/A,0.0,Fast Food,Day 1,Lunch - Big Mac with Green Salad
15 ml olive oil,121.06,0.0,13.69,1.8909,9.9916,1.4411,0.0,0.0,0.0,0.137,0.0767,0.0,0.0,0.137,0.27,0.0,0.0,0,0,0,0.0,0,1.9652,8.2441,0.0,0.0,0.0,0,0,0,0,0.0411,N/A,N/A,0.0,Fast Food,Day 1,Lunch - Big Mac with Green Salad
2 slices pepperoni pizza,552.72,23.01,23.34,9.9803,7.5519,4.0454,62.68,4.51,6.39,299.88,4.9392,47.04,388.08,382.2,1342.6,2.744,0.2215,0.7546,46.256,715.4,1.764,0,1.7052,12.544,0.8428,0.4312,8.1144,0.1568,180.32,0.98,N/A,49.784,0.3626,0.0059,49.0,Fast Food,Day 1,Supper - Pepperoni Pizza
1 ham sandwich,409.3,22.49,13.89,3.6575,5.1104,4.1917,47.71,4.56,6.02,158.7589,4.3836,48.0284,235.6406,500.3183,1478.98,1.933,0.1975,1.0294,38.2716,2698.1842,8.6476,24.9853,0.6226,38.7837,1.0266,0.387,6.8304,0.4025,143.5313,0.3627,0.9134,89.5848,0.4049,0.001,50.4,Fast Food,Day 2,Breakfast - Ham Sandwich
200 ml apple juice,96.44,0.21,0.27,0.0461,0.0126,0.0818,23.69,0.42,20.17,16.7715,0.2516,10.4822,14.6751,211.74,8.39,0.0419,0.0252,0.1551,0.2096,2.0964,80.7128,0,0.021,0,0.044,0.0356,0.153,0.0377,0,0,0.1027,3.7736,N/A,N/A,0.0,Fast Food,Day 2,Breakfast - Ham Sandwich
250 ml caramel iced coffee,50.44,0.57,0.05,0.005,0.0376,0.0025,12.65,0.0,12.65,15.8904,0.0251,8.6339,16.1792,137.5427,80.69,0.0502,0.005,0.0641,0.2885,13.5373,0.111,0,0.0362,0.2508,0.0351,0.1906,0.479,0.0025,5.46,0.04,0.6371,7.9857,0,N/A,0.0,Fast Food,Day 2,Snack
1 small chocolate chip muffin,226.39,3.65,10.1,2.6591,2.6783,4.222,32.05,1.18,14.11,96.1365,1.5088,19.6151,85.119,91.5899,235.68,0.4321,0.1085,0.2283,9.1874,53.7375,0.1531,9.5417,0.6412,12.6276,0.1771,0.1595,1.2917,0.0268,42.214,0.0953,0.2176,16.7183,0.3624,0,16.73,Fast Food,Day 2,Snack
